Prenom;Deuxieme Prenom;Nom;Date Naissance;Nationalite;Lieu Naissance;Email;Langue;Genre;Telephone;Code Volontaire;Type Piece Identite;No Piece Identite;Date Delivrance;Date Expiration;Autorite Delivrante;Adresse;Ville;Code Postal;Pays;Contact Urgence Nom;Lien Contact;Telephone Contact;Permis Conduire;Ville Preferee;Secteur Activite 1;Secteur Activite 2
Serigne;Pape;Koroma;2000-08-06;Gambienne;Dakar;serigne.koroma29@outlook.com;Portugais;Homme;+221 760812500;VOL00011;CIN;R46ZILHKR;2020-09-11;2030-09-09;Police Nationale;861 Rue 156;Ziguinchor;54676;Sénégal;Lamine;Ami;+221 788640969;Oui;Saly;Sport;Marketing
Jean;Lamine;Jallow;1994-04-15;mauritanienne;Kaolack;jean.jallow633@outlook.com;Portugais;Homme;+221 749981068;VOL00012;Passeport;S4K01FX0U;2019-03-31;2029-03-28;Préfecture;244 Rue 158;Kaolack;61432;Sénégal;Catherine;Mère;+221 730088726;Non;Diamniadio;Transport;Communications
Modou;Abdoulaye;Mendy;2004-04-19;Ivoirienne;Ziguinchor;modou.mendy633@gmail.com;Wolof;Homme;+221 774021618;VOL00013;CIN;27RCZ0SBY;2018-07-19;2028-07-16;Police Nationale;955 Rue 154;Dakar;48106;Sénégal;Abdou;Mère;+221 739803284;Non;Dakar;Arrivées & Départs;Services Evenemetiels
Samba;El Hadji;Mendy;2003-03-05;Malienne;Dakar;samba.mendy726@outlook.com;Portugais;Homme;+221 726017573;VOL00014;CIN;94FACAP0I;2020-09-23;2030-09-21;Préfecture;697 Rue 154;Ziguinchor;97304;Sénégal;Marie;Frère;+221 773050243;Non;Saly;Village Olympique de la Jeunesse;Services Evenemetiels
Pape;Moussa;Santos;1995-07-16;Guinéenne;Thiès;pape.santos284@outlook.com;Espagnol;Homme;+221 707189256;VOL00015;Passeport;BX1KQW8B4;2018-01-14;2028-01-12;Ministère de l'Intérieur;759 Rue 80;Kaolack;80556;Sénégal;Paul;Père;+221 734127350;Oui;Saly;Marketing;Billeterie
Pape;Mor;Mensah;1997-12-26;Sénégalaise;Ziguinchor;pape.mensah818@gmail.com;Français;Homme;+221 715315391;VOL00016;Passeport;3RWJX6BNY;2021-09-20;2031-09-18;Gendarmerie Nationale;513 Rue 70;Dakar;59052;Sénégal;Daba;Mère;+221 702507614;Oui;Dakar;Services Médicaux;Hébergement
Jean;Ibrahima;Ndiaye;1999-06-05;Française;Thiès;jean.ndiaye511@yahoo.fr;Arabe;Homme;+221 737393869;VOL00017;Passeport;MZH028LLP;2021-04-01;2031-03-30;Police Nationale;200 Rue 65;Saint-Louis;94225;Sénégal;Khady;Mère;+221 716491024;Non;Diamniadio;Durabilité;Hébergement
Michel;Ibrahima;Kane;2004-09-27;Malienne;Thiès;michel.kane405@yahoo.fr;Wolof;Homme;+221 781229738;VOL00018;CIN;3MC92LCSV;2016-07-25;2026-07-23;Gendarmerie Nationale;588 Rue 35;Ziguinchor;89998;Sénégal;Elisabeth;Tante;+221 788278921;Oui;Dakar;Opérations Médiatiques;Marketing
Mamadou;André;Ouattara;2002-07-06;Sénégalaise;Thiès;mamadou.ouattara957@yahoo.fr;Anglais;Homme;+221 797525544;VOL00019;Passeport;D6K4SF0XV;2021-05-22;2031-05-20;Ministère de l'Intérieur;850 Rue 181;Ziguinchor;58410;Sénégal;Thérèse;Frère;+221 771414349;Oui;Diamniadio;Billeterie;Cérémonies
Emmanuel;Alioune;Sarr;1998-03-21;mauritanienne;Kaolack;emmanuel.sarr630@yahoo.fr;Italien;Homme;+221 721606264;VOL00020;CIN;EQNFWGH3R;2022-04-15;2032-04-12;Préfecture;58 Rue 30;Kaolack;79637;Sénégal;Daouda;Soeur;+221 736451349;Non;Dakar;Marketing;Opérations Médiatiques
André;Pierre;Diallo;1999-07-19;Sénégalaise;Thiès;andré.diallo970@yahoo.fr;Wolof;Homme;+221 705033869;VOL00021;Passeport;BI7HTEDK8;2024-03-13;2034-03-11;Ministère de l'Intérieur;703 Rue 83;Saint-Louis;83936;Sénégal;Ibrahima;Conjoint;+221 737074988;Non;Saly;Réstauration;Opérations Médiatiques
André;Michel;Bamba;2005-06-10;burkinabaise;Ziguinchor;andré.bamba475@gmail.com;Espagnol;Homme;+221 768037369;VOL00022;Passeport;L55TQ0TJY;2018-03-09;2028-03-06;Ministère de l'Intérieur;418 Rue 93;Ziguinchor;31233;Sénégal;Modou;Mère;+221 744122448;Oui;Saly;Opérations Médiatiques;Technologie
Gabriel;Lamine;Tall;1992-03-01;Gambienne;Ziguinchor;gabriel.tall261@yahoo.fr;Arabe;Homme;+221 701610035;VOL00023;Passeport;3LTBU0S7L;2023-04-15;2033-04-12;Ministère de l'Intérieur;410 Rue 14;Sédhiou;83398;Sénégal;Alioune;Tante;+221 792960581;Non;Saly;Cérémonies;Services Liguinstiques
Cheikh;Alioune;Faye;1996-04-09;togolaise;Kaolack;cheikh.faye723@outlook.com;Anglais;Homme;+221 789503553;VOL00024;Passeport;ODYGDSQRL;2021-03-06;2031-03-04;Gendarmerie Nationale;460 Rue 189;Diourbel;80859;Sénégal;Ndeye;Mère;+221 784519479;Oui;Dakar;Hébergement;Communications
Pape;Abdoulaye;Mbaye;2006-05-21;Guinéenne;Kaolack;pape.mbaye758@gmail.com;Français;Homme;+221 713443430;VOL00025;Passeport;O8SSDIMUO;2017-11-22;2027-11-20;Gendarmerie Nationale;149 Rue 197;Saint-Louis;63663;Sénégal;Tidiane;Soeur;+221 797567661;Oui;Saly;Protocole;Communications
Joseph;Amadou;Mensah;2005-05-10;mauritanienne;Dakar;joseph.mensah187@gmail.com;Anglais;Homme;+221 764917952;VOL00026;Passeport;872UXX7YT;2023-06-08;2033-06-05;Ministère de l'Intérieur;347 Rue 36;Ziguinchor;50685;Sénégal;Tidiane;Conjoint;+221 714837797;Non;Saly;Services Liguinstiques;Village Olympique de la Jeunesse
Moussa;Emmanuel;Diop;1991-07-26;Guinéenne;Dakar;moussa.diop392@outlook.com;Portugais;Homme;+221 722876993;VOL00027;CIN;8Q0UOM6Q5;2020-11-14;2030-11-12;Ministère de l'Intérieur;843 Rue 136;Mbour;47405;Sénégal;Penda;Frère;+221 738821852;Non;Dakar;Services Médicaux;Services Médicaux
Pierre;Paul;Seck;2003-08-27;burkinabaise;Dakar;pierre.seck211@yahoo.fr;Français;Homme;+221 746902022;VOL00028;CIN;4U6PXLBEF;2022-05-26;2032-05-23;Police Nationale;732 Rue 92;Ziguinchor;42092;Sénégal;Babacar;Oncle;+221 781657861;Non;Saly;Transport;Arrivées & Départs
Pape;Alioune;Kane;1994-08-18;Gambienne;Thiès;pape.kane124@yahoo.fr;Arabe;Homme;+221 753562917;VOL00029;CIN;MKJ6WW798;2021-11-01;2031-10-30;Gendarmerie Nationale;438 Rue 144;Fatick;74593;Sénégal;Mamadou;Mère;+221 725132843;Non;Diamniadio;Accrédidation;Opérations Médiatiques
Pape;Babacar;Ouattara;2002-10-15;Gambienne;Dakar;pape.ouattara995@outlook.com;Italien;Homme;+221 735285333;VOL00030;CIN;2MP5XA0KR;2022-01-22;2032-01-20;Ministère de l'Intérieur;599 Rue 174;Kolda;42513;Sénégal;Sokhna;Tante;+221 793973063;Non;Dakar;Transport;Protocole
Daouda;Abdou;Bamba;1995-10-31;Sénégalaise;Ziguinchor;daouda.bamba895@outlook.com;Anglais;Homme;+221 731966812;VOL00031;CIN;RELI19FOE;2017-04-05;2027-04-03;Police Nationale;865 Rue 37;Ziguinchor;76954;Sénégal;Alioune;Frère;+221 781300346;Oui;Dakar;Services Médicaux;Ressources Humaines
Pierre;Abdou;Sow;1999-04-09;Gambienne;Ziguinchor;pierre.sow939@yahoo.fr;Espagnol;Homme;+221 790962230;VOL00032;CIN;C3WZ30PEW;2019-10-21;2029-10-18;Police Nationale;552 Rue 179;Mbour;12418;Sénégal;Monique;Oncle;+221 741554563;Oui;Saly;Arrivées & Départs;Ressources Humaines
Moussa;Pierre;Ouattara;1999-07-11;cap verdienne;Dakar;moussa.ouattara865@yahoo.fr;Italien;Homme;+221 796927389;VOL00033;CIN;9OPILL1QM;2018-09-09;2028-09-06;Police Nationale;451 Rue 11;Thiès;81507;Sénégal;Rokhaya;Conjoint;+221 792093332;Non;Dakar;Durabilité;Hébergement
Modou;Boubacar;Mendy;1998-02-04;Sénégalaise;Dakar;modou.mendy593@gmail.com;Arabe;Homme;+221 763072955;VOL00034;Passeport;2OFD81P1S;2019-08-28;2029-08-25;Ministère de l'Intérieur;78 Rue 157;Fatick;69129;Sénégal;Boubacar;Tante;+221 704400848;Non;Diamniadio;Durabilité;Billeterie
Antoine;Samba;Faye;1993-01-15;togolaise;Ziguinchor;antoine.faye603@yahoo.fr;Français;Homme;+221 770161914;VOL00035;CIN;PTLPD3I57;2015-04-01;2025-03-29;Gendarmerie Nationale;527 Rue 5;Ziguinchor;35751;Sénégal;Monique;Père;+221 773234951;Non;Diamniadio;Village Olympique de la Jeunesse;Durabilité
Daouda;Boubacar;Traoré;2003-08-21;Ivoirienne;Thiès;daouda.traoré55@outlook.com;Portugais;Homme;+221 711169502;VOL00036;Passeport;E3X5EIWWW;2015-08-20;2025-08-17;Police Nationale;750 Rue 60;Kaffrine;97182;Sénégal;Mor;Mère;+221 766136467;Oui;Dakar;Sport;Billeterie
Moussa;Tidiane;Keita;1997-01-06;Gambienne;Thiès;moussa.keita786@outlook.com;Espagnol;Homme;+221 717804911;VOL00037;Passeport;FKVLCKJZ7;2017-03-07;2027-03-05;Police Nationale;549 Rue 79;Ziguinchor;79708;Sénégal;Aminata;Frère;+221 792085824;Oui;Saly;Réstauration;Opérations Médiatiques
Ousmane;El Hadji;Camara;1998-04-21;mauritanienne;Thiès;ousmane.camara652@yahoo.fr;Arabe;Homme;+221 788668219;VOL00038;CIN;4WLXTURW2;2024-02-17;2034-02-14;Préfecture;581 Rue 174;Thiès;29078;Sénégal;Adama;Soeur;+221 790433043;Oui;Dakar;Transport;Cérémonies
Mor;Tidiane;Dasylva;2001-12-07;cap verdienne;Thiès;mor.dasylva757@gmail.com;Portugais;Homme;+221 769100696;VOL00039;Passeport;0H35K500O;2018-08-27;2028-08-24;Ministère de l'Intérieur;686 Rue 67;Saint-Louis;91361;Sénégal;Awa;Mère;+221 704563100;Oui;Saly;Services Liguinstiques;Services Liguinstiques
Lamine;Gabriel;Bangura;2006-05-08;Gambienne;Dakar;lamine.bangura541@yahoo.fr;Italien;Homme;+221 746296550;VOL00040;CIN;9ZZM418M5;2016-05-09;2026-05-07;Préfecture;160 Rue 127;Ziguinchor;59998;Sénégal;Bineta;Oncle;+221 703880482;Non;Saly;Réstauration;Services Médicaux
Ibrahima;Boubacar;Koroma;1998-03-08;Malienne;Thiès;ibrahima.koroma447@outlook.com;Anglais;Homme;+221 725230553;VOL00041;CIN;HFYFJIVBG;2024-04-24;2034-04-22;Ministère de l'Intérieur;935 Rue 148;Kaolack;29827;Sénégal;Awa;Tante;+221 786909930;Oui;Dakar;Réstauration;Billeterie
Paul;Abdoulaye;Jallow;1994-09-05;Malienne;Ziguinchor;paul.jallow710@gmail.com;Italien;Homme;+221 718670333;VOL00042;Passeport;QG9QBJX1C;2016-10-03;2026-10-01;Police Nationale;114 Rue 179;Fatick;40346;Sénégal;Maimouna;Soeur;+221 750947238;Oui;Diamniadio;Marketing;Cérémonies
Boubacar;Moussa;Ka;1991-05-11;Gambienne;Thiès;boubacar.ka53@yahoo.fr;Anglais;Homme;+221 708399637;VOL00043;Passeport;TENSV9SGT;2017-07-11;2027-07-09;Préfecture;850 Rue 115;Tambacounda;99793;Sénégal;Mariama;Mère;+221 719044174;Oui;Diamniadio;Marketing;Opérations Médiatiques
Michel;Michel;Gueye;2004-05-02;Ivoirienne;Dakar;michel.gueye347@outlook.com;Portugais;Homme;+221 758983039;VOL00044;Passeport;0W0QXQ0PN;2021-09-14;2031-09-12;Préfecture;673 Rue 184;Thiès;37773;Sénégal;Samba;Frère;+221 785566681;Non;Dakar;Ressources Humaines;Accrédidation
Alioune;Boubacar;Doumbia;1996-02-09;Française;Thiès;alioune.doumbia666@outlook.com;Arabe;Homme;+221 782502625;VOL00045;CIN;M3R7Z2YUR;2020-08-15;2030-08-13;Préfecture;104 Rue 193;Thiès;41978;Sénégal;Alioune;Soeur;+221 713710467;Non;Diamniadio;Durabilité;Services Médicaux
Jean;André;Ndour;1996-05-30;Malienne;Kaolack;jean.ndour869@gmail.com;Italien;Homme;+221 760892765;VOL00046;CIN;EM6VX9OZJ;2020-03-08;2030-03-06;Police Nationale;572 Rue 158;Tambacounda;79367;Sénégal;Bernadette;Conjoint;+221 750420182;Non;Diamniadio;Technologie;Village Olympique de la Jeunesse
Amadou;Mamadou;Sarr;2002-11-13;Française;Kaolack;amadou.sarr641@outlook.com;Anglais;Homme;+221 787370994;VOL00047;CIN;CP3JUPR6Y;2015-11-11;2025-11-08;Police Nationale;615 Rue 13;Tambacounda;96806;Sénégal;Alioune;Mère;+221 733905282;Oui;Dakar;Accrédidation;Durabilité
Babacar;Boubacar;Conteh;2006-12-09;Sénégalaise;Ziguinchor;babacar.conteh723@outlook.com;Anglais;Homme;+221 705291203;VOL00048;CIN;NA3T6EDWH;2016-08-18;2026-08-16;Préfecture;150 Rue 140;Sédhiou;47470;Sénégal;Modou;Oncle;+221 754360818;Oui;Diamniadio;Cérémonies;Cérémonies
Michel;Jean;Tall;2001-11-17;Française;Ziguinchor;michel.tall338@yahoo.fr;Wolof;Homme;+221 736923799;VOL00049;Passeport;EW46QOBMC;2021-03-29;2031-03-27;Préfecture;281 Rue 109;Mbour;55719;Sénégal;Anne;Frère;+221 752301485;Non;Saly;Cérémonies;Protocole
Ibrahima;Alioune;Sow;1994-02-21;Gambienne;Thiès;ibrahima.sow944@outlook.com;Anglais;Homme;+221 710062329;VOL00050;Passeport;IACCAT2OI;2023-08-03;2033-07-31;Préfecture;62 Rue 30;Kolda;49464;Sénégal;Marie;Soeur;+221 756889096;Oui;Saly;Marketing;Technologie
Daouda;Antoine;Mbaye;1993-07-18;Ivoirienne;Dakar;daouda.mbaye949@outlook.com;Anglais;Homme;+221 713454176;VOL00051;Passeport;XGI1QGKLW;2015-05-12;2025-05-09;Police Nationale;528 Rue 153;Diourbel;47675;Sénégal;El Hadji;Conjoint;+221 722539331;Non;Saly;Accrédidation;Marketing
Emmanuel;Cheikh;Traoré;1995-04-18;Sénégalaise;Ziguinchor;emmanuel.traoré69@yahoo.fr;Espagnol;Homme;+221 799594238;VOL00052;CIN;Z7I7KZRUZ;2024-05-03;2034-05-01;Gendarmerie Nationale;8 Rue 19;Thiès;86234;Sénégal;Gabriel;Oncle;+221 777010046;Oui;Diamniadio;Billeterie;Services Liguinstiques
Pape;Michel;Jallow;2002-10-30;mauritanienne;Ziguinchor;pape.jallow54@outlook.com;Anglais;Homme;+221 793896756;VOL00053;Passeport;2IKJ2HBDF;2016-07-26;2026-07-24;Gendarmerie Nationale;295 Rue 50;Thiès;86119;Sénégal;Abdou;Mère;+221 768299576;Non;Diamniadio;Transport;Arrivées & Départs
André;Amadou;Traoré;2007-05-16;cap verdienne;Kaolack;andré.traoré78@gmail.com;Anglais;Homme;+221 789959204;VOL00054;Passeport;ZE6BTNE1U;2019-11-18;2029-11-15;Préfecture;647 Rue 167;Diourbel;55874;Sénégal;André;Ami;+221 727689913;Non;Saly;Cérémonies;Sport
Moussa;Alioune;Santos;1996-08-06;mauritanienne;Dakar;moussa.santos695@gmail.com;Wolof;Homme;+221 750361649;VOL00055;Passeport;FZNIL8GPQ;2020-11-26;2030-11-24;Police Nationale;727 Rue 13;Dakar;87444;Sénégal;Babacar;Frère;+221 778206068;Non;Diamniadio;Services Liguinstiques;Village Olympique de la Jeunesse
Lamine;François;Seck;1994-10-30;burkinabaise;Ziguinchor;lamine.seck809@outlook.com;Anglais;Homme;+221 776376478;VOL00056;Passeport;D6PMST9EF;2022-10-28;2032-10-25;Préfecture;358 Rue 1;Kaolack;76235;Sénégal;Abdou;Conjoint;+221 793653104;Oui;Dakar;Marketing;Cérémonies
Daouda;Serigne;Bangura;2004-11-26;Malienne;Thiès;daouda.bangura500@yahoo.fr;Anglais;Homme;+221 717882647;VOL00057;Passeport;EOVCJE6DE;2019-01-28;2029-01-25;Gendarmerie Nationale;450 Rue 38;Kolda;57519;Sénégal;Ndeye;Mère;+221 787550515;Non;Saly;Transport;Arrivées & Départs
Joseph;Abdou;Sarr;1996-07-27;Guinéenne;Dakar;joseph.sarr294@outlook.com;Italien;Homme;+221 734426962;VOL00058;Passeport;SZ6D81J6K;2015-05-19;2025-05-16;Ministère de l'Intérieur;783 Rue 165;Saint-Louis;21008;Sénégal;Daouda;Oncle;+221 776435162;Oui;Dakar;Services Liguinstiques;Opérations Médiatiques
Modou;André;Dasylva;2003-10-17;burkinabaise;Ziguinchor;modou.dasylva676@yahoo.fr;Wolof;Homme;+221 755487481;VOL00059;Passeport;7V03TP64G;2024-05-17;2034-05-15;Ministère de l'Intérieur;721 Rue 18;Kolda;73111;Sénégal;Bernadette;Soeur;+221 736946073;Oui;Diamniadio;Billeterie;Hébergement
Mor;Amadou;Sy;2003-07-27;Gambienne;Dakar;mor.sy579@yahoo.fr;Anglais;Homme;+221 717062509;VOL00060;Passeport;02B211J0X;2021-01-22;2031-01-20;Police Nationale;793 Rue 135;Saint-Louis;97627;Sénégal;François;Ami;+221 768696504;Non;Dakar;Village Olympique de la Jeunesse;Communications
Cheikh;Abdoulaye;Ouattara;1993-03-21;Française;Ziguinchor;cheikh.ouattara975@gmail.com;Wolof;Homme;+221 719163537;VOL00061;CIN;QW7LKPELX;2022-05-06;2032-05-03;Préfecture;626 Rue 89;Saint-Louis;93791;Sénégal;Gabriel;Tante;+221 796283848;Non;Diamniadio;Communications;Hébergement
Jean;André;Sy;2005-04-02;Malienne;Kaolack;jean.sy930@yahoo.fr;Arabe;Homme;+221 740036169;VOL00062;Passeport;TJ8RMTSTC;2019-02-27;2029-02-24;Préfecture;997 Rue 127;Tambacounda;74464;Sénégal;Abdoulaye;Père;+221 785587755;Oui;Dakar;Arrivées & Départs;Protocole
Babacar;Modou;Santos;2000-06-05;Malienne;Dakar;babacar.santos328@outlook.com;Anglais;Homme;+221 780185718;VOL00063;Passeport;ZF2NSHMSM;2018-08-15;2028-08-12;Préfecture;622 Rue 162;Thiès;16201;Sénégal;Awa;Conjoint;+221 795456383;Non;Diamniadio;Village Olympique de la Jeunesse;Ressources Humaines
Joseph;El Hadji;Jallow;2006-09-04;Malienne;Kaolack;joseph.jallow296@yahoo.fr;Anglais;Homme;+221 778659525;VOL00064;CIN;WC02LKHL2;2021-03-21;2031-03-19;Préfecture;975 Rue 18;Tambacounda;79603;Sénégal;Mariama;Frère;+221 779006398;Oui;Saly;Ressources Humaines;Technologie
Tidiane;Ousmane;Fall;1996-08-08;béninoise;Dakar;tidiane.fall90@gmail.com;Français;Homme;+221 771597842;VOL00065;Passeport;FW64W2A6L;2018-04-16;2028-04-13;Préfecture;705 Rue 105;Thiès;11614;Sénégal;Emmanuel;Conjoint;+221 700812449;Non;Saly;Réstauration;Hébergement
Serigne;Emmanuel;Diallo;1992-02-14;Malienne;Kaolack;serigne.diallo135@gmail.com;Espagnol;Homme;+221 714789607;VOL00066;CIN;AER21N36M;2024-07-24;2034-07-22;Préfecture;807 Rue 118;Thiès;51119;Sénégal;André;Père;+221 763400983;Oui;Saly;Village Olympique de la Jeunesse;Billeterie
El Hadji;Antoine;Koroma;1995-07-26;Française;Dakar;el hadji.koroma60@yahoo.fr;Italien;Homme;+221 704094353;VOL00067;Passeport;S80KHZDYD;2022-10-15;2032-10-12;Préfecture;284 Rue 41;Louga;59323;Sénégal;Bineta;Mère;+221 748390401;Non;Dakar;Services Médicaux;Durabilité
Daouda;Antoine;Konaté;1998-08-02;Guinéenne;Dakar;daouda.konaté923@yahoo.fr;Arabe;Homme;+221 706575722;VOL00068;Passeport;E0SRYVAI6;2016-03-19;2026-03-17;Ministère de l'Intérieur;706 Rue 31;Fatick;91134;Sénégal;Claire;Frère;+221 796515304;Oui;Diamniadio;Protocole;Hébergement
Babacar;Antoine;Diallo;1992-02-03;Guinéenne;Kaolack;babacar.diallo759@yahoo.fr;Français;Homme;+221 795482337;VOL00069;CIN;LA13AHYOK;2016-10-03;2026-10-01;Préfecture;765 Rue 67;Saint-Louis;22162;Sénégal;Adama;Soeur;+221 765521182;Oui;Dakar;Village Olympique de la Jeunesse;Sport
Ousmane;Abdou;Sow;2006-02-07;béninoise;Thiès;ousmane.sow400@gmail.com;Anglais;Homme;+221 795744538;VOL00070;CIN;O7QW5OBKL;2017-06-17;2027-06-15;Ministère de l'Intérieur;916 Rue 10;Ziguinchor;16690;Sénégal;Sokhna;Conjoint;+221 705888998;Non;Dakar;Cérémonies;Services Médicaux
Gabriel;Boubacar;Sanogo;1995-07-19;cap verdienne;Dakar;gabriel.sanogo41@yahoo.fr;Français;Homme;+221 718882211;VOL00071;CIN;M3MXIGVXX;2022-05-05;2032-05-02;Police Nationale;190 Rue 188;Tambacounda;40733;Sénégal;Aminata;Mère;+221 730031344;Oui;Diamniadio;Services Liguinstiques;Marketing
Mamadou;El Hadji;Tall;1994-07-17;Malienne;Ziguinchor;mamadou.tall311@outlook.com;Portugais;Homme;+221 731395300;VOL00072;CIN;PVYV21610;2019-08-06;2029-08-03;Préfecture;208 Rue 49;Mbour;14367;Sénégal;Catherine;Oncle;+221 742368124;Oui;Dakar;Protocole;Transport
Joseph;Ibrahima;Toure;2005-07-16;béninoise;Dakar;joseph.toure284@gmail.com;Arabe;Homme;+221 751154750;VOL00073;Passeport;HQDSP7B8N;2023-09-21;2033-09-18;Police Nationale;379 Rue 121;Mbour;41416;Sénégal;Kadiatou;Soeur;+221 783183543;Oui;Diamniadio;Communications;Hébergement
Modou;Tidiane;Doumbia;2002-03-07;Malienne;Dakar;modou.doumbia681@gmail.com;Wolof;Homme;+221 792025733;VOL00074;CIN;82JPN0JQI;2019-11-08;2029-11-05;Police Nationale;40 Rue 53;Diourbel;87946;Sénégal;Pape;Ami;+221 732020920;Oui;Diamniadio;Services aux Comités Nationaux;Hébergement
Alioune;Serigne;Koroma;2001-08-23;Guinéenne;Ziguinchor;alioune.koroma234@yahoo.fr;Wolof;Homme;+221 729906804;VOL00075;CIN;FH8FVE688;2018-03-22;2028-03-19;Gendarmerie Nationale;668 Rue 125;Kaffrine;29724;Sénégal;Fatou;Soeur;+221 723132866;Oui;Saly;Marketing;Services aux Comités Nationaux
Joseph;El Hadji;Ndao;2007-12-03;Sénégalaise;Kaolack;joseph.ndao384@gmail.com;Portugais;Homme;+221 787207482;VOL00076;Passeport;MKP2XWJTY;2016-08-21;2026-08-19;Ministère de l'Intérieur;302 Rue 59;Sédhiou;68587;Sénégal;Marie;Ami;+221 734550598;Oui;Diamniadio;Village Olympique de la Jeunesse;Technologie
François;Pape;Sarr;1997-07-27;burkinabaise;Ziguinchor;françois.sarr415@gmail.com;Espagnol;Homme;+221 708697612;VOL00077;Passeport;FJ9IMSVEN;2015-05-29;2025-05-26;Gendarmerie Nationale;240 Rue 130;Saint-Louis;37589;Sénégal;Awa;Oncle;+221 766712549;Oui;Diamniadio;Protocole;Durabilité
Pape;Pierre;Conteh;2000-06-12;béninoise;Ziguinchor;pape.conteh767@yahoo.fr;Wolof;Homme;+221 792568227;VOL00078;Passeport;87MSR7OZV;2018-08-05;2028-08-02;Préfecture;116 Rue 52;Kolda;38780;Sénégal;Penda;Frère;+221 780796795;Oui;Saly;Services Evenemetiels;Durabilité
Cheikh;Serigne;Sy;2005-12-03;Guinéenne;Dakar;cheikh.sy618@outlook.com;Français;Homme;+221 775576181;VOL00079;CIN;KU479ZSFO;2024-09-30;2034-09-28;Police Nationale;150 Rue 67;Kaolack;49855;Sénégal;Anne;Oncle;+221 772465549;Oui;Dakar;Durabilité;Cérémonies
